Concepto,1993 |  T1,1993 |  T2,1993 |  T3,1993 |  T4,1993 |  6 Meses,1993 |  9 Meses,1993 |  Anual,1994 |  T1,1994 |  T2,1994 |  T3,1994 |  T4,1994 |  6 Meses,1994 |  9 Meses,1994 |  Anual,1995 |  T1,1995 |  T2,1995 |  T3,1995 |  T4,1995 |  6 Meses,1995 |  9 Meses,1995 |  Anual,1996 |  T1,1996 |  T2,1996 |  T3,1996 |  T4,1996 |  6 Meses,1996 |  9 Meses,1996 |  Anual,1997 |  T1,1997 |  T2,1997 |  T3,1997 |  T4,1997 |  6 Meses,1997 |  9 Meses,1997 |  Anual,1998 |  T1,1998 |  T2,1998 |  T3,1998 |  T4,1998 |  6 Meses,1998 |  9 Meses,1998 |  Anual,1999 |  T1,1999 |  T2,1999 |  T3,1999 |  T4,1999 |  6 Meses,1999 |  9 Meses,1999 |  Anual,2000 |  T1,2000 |  T2,2000 |  T3,2000 |  T4,2000 |  6 Meses,2000 |  9 Meses,2000 |  Anual,2001 |  T1,2001 |  T2,2001 |  T3,2001 |  T4,2001 |  6 Meses,2001 |  9 Meses,2001 |  Anual,2002 |  T1,2002 |  T2,2002 |  T3,2002 |  T4,2002 |  6 Meses,2002 |  9 Meses,2002 |  Anual,2003 |  T1,2003 |  T2,2003 |  T3,2003 |  T4,2003 |  6 Meses,2003 |  9 Meses,2003 |  Anual,2004 |  T1,2004 |  T2,2004 |  T3,2004 |  T4,2004 |  6 Meses,2004 |  9 Meses,2004 |  Anual,2005 |  T1,2005 |  T2,2005 |  T3,2005 |  T4,2005 |  6 Meses,2005 |  9 Meses,2005 |  Anual,2006 |  T1,2006 |  T2,2006 |  T3,2006 |  T4,2006 |  6 Meses,2006 |  9 Meses,2006 |  Anual,2007 |  T1,2007 |  T2,2007 |  T3,2007 |  T4,2007 |  6 Meses,2007 |  9 Meses,2007 |  Anual,2008 |  T1,2008 |  T2,2008 |  T3,2008 |  T4,2008 |  6 Meses,2008 |  9 Meses,2008 |  Anual,2009 |  T1,2009 |  T2,2009 |  T3,2009 |  T4,2009 |  6 Meses,2009 |  9 Meses,2009 |  Anual,2010 |  T1,2010 |  T2,2010 |  T3,2010 |  T4,2010 |  6 Meses,2010 |  9 Meses,2010 |  Anual,2011 |  T1,2011 |  T2,2011 |  T3,2011 |  T4,2011 |  6 Meses,2011 |  9 Meses,2011 |  Anual,2012 |  T1,2012 |  T2,2012 |  T3,2012 |  T4,2012 |  6 Meses,2012 |  9 Meses,2012 |  Anual,2013 |  T1,2013 |  T2,2013 |  T3,2013 |  T4,2013 |  6 Meses,2013 |  9 Meses,2013 |  Anual,2014 |  T1,2014 |  T2,2014 |  T3,2014 |  T4,2014 |  6 Meses,2014 |  9 Meses,2014 |  Anual,2015 |  T1,2015 |  T2,2015 |  T3,2015 |  T4,2015 |  6 Meses,2015 |  9 Meses,2015 |  Anual,2016 |  T1,2016 |  T2,2016 |  T3,2016 |  T4,2016 |  6 Meses,2016 |  9 Meses,2016 |  Anual,2017 |  T1,2017 |  T2,2017 |  T3,2017 |  T4,2017 |  6 Meses,2017 |  9 Meses,2017 |  Anual,2018 |  T1,2018 |  T2,2018 |  T3,2018 |  T4,2018 |  6 Meses,2018 |  9 Meses,2018 |  Anual,2019 |  T1,2019 |  T2,2019 |  T3,2019 |  T4,2019 |  6 Meses,2019 |  9 Meses,2019 |  Anual,2020 |  T1,2020 |  T2,2020 |  T3,2020 |  T4,2020 |  6 Meses,2020 |  9 Meses,2020 |  Anual,2021 |  T1 P,2021 |  T2 P,2021 |  T3 P,2021 |  T4 P,2021 |  6 Meses P,2021 |  9 Meses P,2021 |  Anual P,2022 |  T1 P,2022 |  T2 P,2022 |  T3 P,2022 |  T4 P,2022 |  6 Meses P,2022 |  9 Meses P,2022 |  Anual P,2023 |  T1 P,2023 |  T2 P,2023 |  T3 P,2023 |  T4 P,2023 |  6 Meses P,2023 |  9 Meses P,2023 |  Anual P,2024 |  T1 R,2024 |  T2 P,2024 |  T3,2024 |  T4,2024 |  6 Meses,2024 |  9 Meses,2024 |  Anual
3335 - Fabricación de maquinaria y equipo para la industria metalmecánica,5101.011,3031.05,3140.389,7506.99,4066.031,3757.483,4694.86,4606.702,3674.553,4179.956,10337.317,4140.628,4153.737,5699.632,7987.876,4549.126,3139.093,8258.877,6268.501,5225.365,5983.743,3803.147,3969.973,3075.099,8457.729,3886.56,3616.073,4826.487,5770.702,4120.458,3145.133,8179.162,4945.58,4345.431,5303.864,6086.075,4537.409,2059.283,5205.964,5311.742,4227.589,4472.183,3730.514,2165.443,1643.472,3301.642,2947.979,2513.143,2710.268,2590.328,1752.784,1345.315,4251.08,2171.556,1896.142,2484.877,3927.1,2209.378,1861.125,4159.857,3068.239,2665.868,3039.365,2257.426,1634.236,1227.156,2959.01,1945.831,1706.273,2019.457,2679.779,1418.363,1267.054,3098.04,2049.071,1788.399,2115.809,2926.804,1984.817,1263.799,3414.3,2455.811,2058.473,2397.43,3095.796,2201.886,1672.003,4428.527,2648.841,2323.228,2849.553,3521.333,2562.83,2116.227,4038.866,3042.082,2733.463,3059.814,3964.91,2842.826,2003.632,3598.088,3403.868,2937.123,3102.364,4042.827,2826.249,1841.628,4394.124,3434.538,2903.568,3276.207,2984.228,1736.663,1409.159,4120.009,2360.446,2043.35,2562.515,3780.19,2942.603,2092.723,5662.56,3361.397,2938.505,3619.519,4444.366,2636.334,1841.027,4800.138,3540.35,2973.909,3430.466,4893.666,3223.25,2108.103,4516.665,4058.458,3408.34,3685.421,3140.607,1919.54,1693.354,3885.587,2530.074,2251.167,2659.772,3411.388,3299.041,1974.594,4966.825,3355.215,2895.008,3412.962,3610.592,2338.173,2072.142,4937.477,2974.383,2673.636,3239.596,2987.514,2723.376,2578.926,4951.984,2855.445,2763.272,3310.45,3360.485,2304.814,2698.044,6163.52,2832.65,2787.781,3631.716,3969.399,3880.82,3999.928,6503.693,3925.11,3950.049,4588.46,4167.201,3790.821,3611.687,6119.931,3979.011,3856.57,4422.41,3895.471,3077.749,2800.887,4901.141,3486.61,3258.036,3668.812,4275.154,4123.003,4263.045,4516.146,4199.079,4220.401,4294.337,3761.43,3717.992,3885.9,4017.234,3739.711,3788.441,3845.639,3328.092,3540.418,3477.699,3056.089,3434.255,3448.736,3350.575,2621.901,2540.898,,,2581.4,,
"3336 - Fabricación de motores de combustión interna, turbinas y transmisiones",11974.239,11483.616,13287.151,13920.934,11728.928,12248.335,12666.485,9189.986,11031.895,12098.555,15280.38,10110.941,10773.479,11900.204,13468.966,14062.106,13949.596,16444.119,13765.536,13826.889,14481.197,11687.061,11561.689,10830.208,12175.662,11624.375,11359.653,11563.655,10115.657,12275.333,13194.877,16471.513,11195.495,11861.956,13014.345,14417.117,16218.784,16999.748,19515.003,15317.951,15878.55,16787.663,14625.659,16009.54,16202.311,17572.306,15317.6,15612.503,16102.454,13384.713,16171.654,19034.26,23282.973,14778.184,16196.876,17968.4,21009.236,26100.129,28141.06,29729.526,23554.683,25083.475,26244.988,22662.122,26760.631,27533.981,29861.83,24711.377,25652.245,26704.641,22795.82,26628.238,27761.01,30457.128,24712.029,25728.356,26910.549,33697.017,31863.084,31163.586,33737.097,32780.051,32241.229,32615.196,31586.497,33029.741,30947.122,29071.308,32308.119,31854.453,31158.667,31501.961,31876.238,34758.757,30202.38,31689.1,32712.319,32084.834,28186.316,29342.668,29520.438,27696.506,28764.492,29016.474,28686.482,27739.437,32645.188,31112.484,24853.703,30192.313,30499.036,29087.703,19928.42,14682.964,18273.281,15173.507,17305.692,17628.222,17014.543,31607.556,41260.573,47919.782,47020.506,36434.065,40262.637,41952.104,50209.971,50859.999,57707.894,52938.864,50534.985,52925.955,52929.182,64944.867,59912.069,56267.737,47398.183,62428.468,60374.891,57130.714,47948.959,44744.813,48339.149,43584.695,46346.886,47010.974,46154.404,44820.627,44748.26,52002.102,42124.731,44784.444,47190.33,45923.93,44539.906,47819.009,48661.276,37248.518,46179.458,47006.73,44567.177,46030.495,45029.618,37247.823,41020.62,45530.057,42769.312,42332.139,49263.074,52614.264,55914.414,50013.168,50938.669,52597.251,51951.23,56412,56257.132,54329.886,51884.37,56334.566,55666.339,54720.847,51305.616,46835.166,45529.459,31648.072,49070.391,47890.08,43829.578,39433.602,27779.554,32804.441,36130.955,33606.578,33339.199,34037.138,42080.991,46151.846,47109.566,43142.88,44116.419,45114.134,44621.321,49857.126,53450.341,56464.271,58556.126,51653.734,53257.246,54581.966,57011.926,55988.789,51140.306,48877.223,56500.358,54713.674,53254.561,52701.599,51384.751,,,52043.175,,
3339 - Fabricación de otra maquinaria y equipo para la industria en general,22502.459,19072.306,23459.909,25125.601,20787.383,21678.225,22540.069,24235.308,23803.328,26914.46,23798.927,24019.318,24984.365,24688.006,25283.552,18896.408,19889.307,21225.485,22089.98,21356.422,21323.688,30995.84,27121.639,24176.319,23629.699,29058.74,27431.266,26480.874,34739.936,30596.167,30878.595,30981.135,32668.052,32071.566,31798.958,42518.833,35513.669,32130.026,29636.896,39016.251,36720.843,34949.856,43697.157,37750.973,33994.118,31208.639,40724.065,38480.749,36662.722,40633.614,37648.387,40472.664,34462.455,39141.001,39584.888,38304.28,44816.978,35690.977,33052.297,28597.36,40253.978,37853.417,35539.403,42130.848,35805.161,32391.362,28988.125,38968.005,36775.79,34828.874,42507.356,38993.331,32092.841,32190.608,40750.344,37864.509,36446.034,40330.701,40680.268,37606.185,38347.77,40505.485,39539.051,39241.231,44502.782,45622.071,41239.707,40035.72,45062.427,43788.187,42850.07,44534.792,46245.401,43832.306,44556.305,45390.097,44870.833,44792.201,44056.62,46470.675,44033.157,45539.165,45263.648,44853.484,45024.904,45584.756,43756.069,39705.298,41857.869,44670.413,43015.374,42725.998,36748.73,35453.613,37314.313,45743.252,36101.172,36505.552,38814.977,40442.406,40818.53,45627.111,46790.625,40630.468,42296.016,43419.668,43167.986,43530.544,43761.78,45997.602,43349.265,43486.77,44114.478,45325.134,45541.371,42645.295,46114.743,45433.253,44503.933,44906.636,42188.112,41025.898,39871.219,37577.244,41607.005,41028.41,40165.618,40068.334,40309.926,43504.01,42525.882,40189.13,41294.09,41602.038,41453.402,43088.18,45453.545,45174.293,42270.791,43331.709,43792.355,42556.789,44947.158,45315.838,45666.667,43751.974,44273.262,44621.613,44855.484,42217.521,44564.185,47397.978,43536.503,43879.063,44758.792,43752.053,44638.251,46072.634,45061.106,44195.152,44820.979,44881.011,47958.862,46345.591,47083.438,45577.502,47152.227,47129.297,46741.348,44500.859,39469.375,41480.507,45337.724,41985.117,41816.914,42697.116,44814.818,45616.913,48343.929,47090.68,45215.866,46258.553,46466.585,47752.406,49820.221,50141.717,48833.664,48786.314,49238.115,49137.002,52100.551,54234.362,56267.911,55708.19,53167.457,54200.941,54577.754,50278.838,52025.214,,,51152.026,,
"334 - Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",239192.82399999996,268020.19599999994,315844.801,293816.89999999997,253606.51,274352.607,279218.68,286559.046,297812.734,300715.368,281924.86699999997,292185.89,295029.049,291753.004,375529.639,155450.98599999998,166009.85,245582.21500000003,265490.313,232330.158,235643.173,206284.53500000003,185043.276,193319.83799999996,320678.519,195663.906,194882.55,226331.542,266850.536,258384.52000000002,294579.42100000003,410044.063,262617.528,273271.492,307464.635,431564.447,373966.858,362114.75499999995,422018.43499999994,402765.653,389215.353,397416.124,429069.828,399110.671,418967.72599999997,382273.836,414090.25,415716.075,407355.515,506218.454,466122.9760000001,590637.7359999999,463962.892,486170.715,520993.055,506735.515,585182.406,517220.739,473682.37499999994,391491.127,551201.573,525361.84,491894.162,387579.637,345124.744,360622.896,445375.79500000004,366352.191,364442.426,384675.768,325821.623,388297.92,407658.726,406617.379,357059.772,373926.09,382098.912,310192.664,343989.54900000006,347064.52400000003,346599.681,327091.107,333748.912,336961.605,283535.95700000005,303578.172,327912.8,361529.514,293557.065,305008.976,319139.111,302205.881,327579.884,359050.347,364639.794,314892.883,329612.037,338368.977,339271.439,345339.9649999999,353347.01499999996,341911.035,342305.702,345986.14,344967.364,317792.984,339114.587,346704.08499999996,342046.499,328453.786,334537.219,336414.539,263949.538,268644.41599999997,279225.86000000004,293543.07999999996,266296.977,270606.605,276340.724,275740.755,292614.44399999996,284914.905,278137.167,284177.6,284423.368,282851.818,266382.49100000004,271656.835,293490.07700000005,302777.717,269019.663,277176.468,283576.78,292326.177,290946.555,301860.55,298556.323,291636.366,295044.427,295922.401,282395.25200000004,310657.37200000003,315583.80500000005,317065.49700000003,296526.312,302878.81,306425.482,311986.887,329406.46099999995,357330.205,367012.185,320696.674,332907.851,341433.935,364503.724,360664.64300000004,400188.96499999997,405495.25,362584.184,375119.111,382713.146,378690.85299999994,370558.24199999997,410988.293,404363.2310000001,374624.548,386745.796,391150.155,403924.44,399692.065,413387.406,408403.614,401808.253,405667.97,406351.881,398535.8709999999,402607.9060000001,420494.87399999995,415539.98400000005,400571.889,407212.884,409294.659,432527.02799999993,435737.213,441202.382,404376.592,434132.121,436488.874,428460.804,419792.06200000003,325616.126,400491.402,398359.74799999996,372704.094,381966.53,386064.835,426916.65300000005,427727.202,424434.059,416686.03899999993,427321.928,426359.305,423940.988,438646.971,468522.3890000001,488910.569,477151.897,453584.68,465359.976,468307.957,453484.89400000003,475917.28700000007,486503.187,487095.669,464701.091,471968.456,475750.259,462241.62,482984.24100000004,,,472612.931,,
3341 - Fabricación de computadoras y equipo periférico,11606.042,13493.634,10826.395,17314.469,12549.838,11975.357,13310.135,15387.675,17192.836,16424.792,18160.873,16290.256,16335.101,16791.544,22234.86,17604.133,16320.832,20694.791,19919.497,18719.942,19213.654,25141.666,25607.417,30196.877,42581.52,25374.542,26981.987,30881.87,48643.978,47693.96,52477.956,50847.622,48168.969,49605.298,49915.879,67033.722,50438.054,67887.105,56999.487,58735.888,61786.294,60589.592,62491.496,59786.113,72970.166,57276.601,61138.805,65082.592,63131.094,73146.001,67615.464,95415.575,82901.824,70380.733,78725.68,79769.716,87541.931,62961.223,80640.986,63645.283,75251.577,77048.047,73697.356,83860.393,62284.599,65775.487,60004.385,73072.496,70640.16,67981.216,59607.457,49486.881,54086.266,43092.359,54547.169,54393.535,51568.241,46990.757,38332.111,42816.306,38548.282,42661.434,42713.058,41671.864,45719.567,45954.004,51969.503,51353.17,45836.786,47881.025,48749.061,57772.164,49323.851,62111.008,61523.24,53548.008,56402.341,57682.566,65982.266,49445.352,60284.222,57663.448,57713.809,58570.613,58343.822,50315.052,44226.825,47157.975,54080.809,47270.939,47233.284,48945.165,41814.561,34766.611,41391.783,51640.457,38290.586,39324.318,42403.353,44399.543,45929.882,50334.78,53380.139,45164.713,46888.068,48511.086,50861.382,48551.447,55110.475,60188.716,49706.415,51507.768,53678.005,53765.374,48734.592,55187.994,63498.533,51249.983,52562.653,55296.623,56111.018,55330.969,63256.319,72265.871,55720.994,58232.769,61741.044,73817.006,70488.688,84028.191,98725.071,72152.847,76111.295,81764.739,91939.294,72451.583,83656.036,94798.494,82195.439,82682.304,85711.352,90972,76954.771,83493.588,93599.861,83963.386,83806.786,86255.055,98435.06,88586.375,91736.004,96052.352,93510.718,92919.146,93702.448,89974.402,87545.127,93017.447,89553.076,88759.765,90178.992,90022.513,90455.055,93182.889,102845.612,93324.499,91818.972,95494.519,94952.014,102726.2,72596.969,82986.043,77843.624,87661.585,86103.071,84038.209,106755.686,90474.304,76669.699,86174.391,98614.995,91299.896,90018.52,120761.425,129666.069,135863.229,142536.032,125213.747,128763.574,132206.689,131838.807,135782.412,141806.479,163238.905,133810.61,136475.899,143166.651,167046.939,155822.707,,,161434.823,,
3342 - Fabricación de equipo de comunicación,169450.416,188356.003,220504.677,197812.66,178903.21,192770.365,194030.939,201880.967,196834.619,183401.816,157587.734,199357.793,194039.134,184926.284,266137.286,73556.799,48396.679,100582.347,169847.043,129363.588,122168.278,89133.294,52408.096,35710.311,141149.675,70770.695,59083.9,79600.344,102837.439,86540.671,91344.837,194542.297,94689.055,93574.316,118816.311,231301.826,167528.965,102431.662,150272.047,199415.396,167087.484,162883.625,194990.599,139721.928,104463.644,101096.097,167356.264,146392.057,135068.067,247593.796,183402.7,201829.532,141087.783,215498.248,210942.009,193478.453,294434.452,251492.07,170266.032,128338.317,272963.261,238730.851,211132.718,129080.113,115573.498,106668.712,166687.897,122326.806,117107.441,129502.555,92454.238,174112.931,164086.355,148844.492,133283.585,143551.175,144874.504,84187.855,121776.31,103150.941,91379.182,102982.083,103038.369,100123.572,62730.444,92207.016,81615.555,86251.309,77468.73,78851.005,80701.081,59414.55,94906.343,88781.442,81052.829,77160.447,81034.112,81038.791,61082.548,89942.885,73192.066,75172.549,75512.717,74739.166,74847.512,73051.449,90894.637,87550.162,92254.067,81973.043,83832.083,85937.579,70183.128,70570.656,65081.042,68010.218,70376.892,68611.609,68461.261,72238.453,67976.271,54977.938,49980.61,70107.362,65064.221,61293.318,51587.512,44152.282,50996.677,59127.185,47869.897,48912.157,51465.914,58836.84,56870.379,49441.986,49366.635,57853.61,55049.735,53628.96,52102.258,65019.92,50398.736,49499.083,58561.089,55840.305,54254.999,53951.043,59651.021,56288.07,58774.793,56801.032,56630.045,57166.232,68975.65,77427.595,83620.955,90389.384,73201.623,76674.733,80103.396,93251.337,90197.813,99804.519,88521.556,91724.575,94417.89,92943.806,102007.609,97321.726,86163.882,90296.352,99664.668,95164.406,93947.392,91398.565,98517.965,97769.243,87592.188,94958.265,95895.258,93819.49,106379.913,99095.273,94447.131,89963.816,102737.593,99974.106,97471.533,96869.967,51673.337,84287.373,86463.1,74271.652,77610.226,79823.444,91917.035,89671.643,94807.323,91518.846,90794.339,92132,91978.712,91451.176,103121.82,99947.1,87052.463,97286.498,98173.365,95393.14,78927.613,98736.058,97169.136,85704.224,88831.836,91610.936,90134.258,76409.457,86943.614,,,81676.536,,
3343 - Fabricación de equipo de audio y de video,23153.479,22765.395,21766.413,22032.456,22959.437,22561.762,22429.436,28145.774,28601.97,26480.847,28930.369,28373.872,27742.864,28039.74,33940.713,20073.126,25244.029,32945.296,27006.92,26419.289,28050.791,36531.529,38333.435,42118.571,36387.037,37432.482,38994.512,38342.643,44918.194,44760.91,42723.76,50005.06,44839.552,44134.288,45601.981,59329.198,61269.275,61170.233,62343.85,60299.237,60589.569,61028.139,66591.106,74265.557,70815.125,70193.328,70428.332,70557.263,70466.279,72357.952,71126.489,82500.526,51585.729,71742.221,75328.322,69392.674,72663.242,72249.613,61421.764,52789.902,72456.428,68778.206,64781.13,57522.541,75779.843,70695.029,80424.431,66651.192,67999.138,71105.461,65529.637,73230.634,80517.513,84272.956,69380.136,73092.595,75887.685,67208.227,84027.327,90391.652,92761.598,75617.777,80542.402,83597.201,68178.699,74293.801,86832.008,88308.015,71236.25,76434.836,79403.131,68732.533,73713.937,84331.942,89007.476,71223.235,75592.804,78946.472,90174.589,81876.254,91432.338,82754.095,86025.422,87827.727,86559.319,69460.514,79831.363,93009.677,86280.918,74645.939,80767.185,82145.618,67571.488,65090.376,78195.207,68081.685,66330.932,70285.69,69734.689,62312.981,75408.278,81828.326,75458.671,68860.63,73183.195,73752.064,67639.894,78481.25,93616.437,84956.175,73060.572,79912.527,81173.439,75454.884,74321.124,92863.388,81267.833,74888.004,80879.799,80976.807,75686.67,83225.386,88039.638,83817.706,79456.028,82317.231,82692.35,77067.433,86168.765,96182.776,88465.238,81618.099,86472.991,86971.053,77533.568,83814.284,98369.49,92423.741,80673.926,86572.447,88035.271,75979.197,75773.191,93214.026,89029.731,75876.194,81655.471,83499.036,72996.923,76747.264,96396.293,92692.724,74872.094,82046.827,84708.301,80428.914,76317.466,85563.437,96070.996,78373.19,80769.939,84595.203,96051.828,95747.462,97369.79,83452.224,95899.645,96389.693,93155.326,78445.743,73328.768,83342.717,73611.72,75887.256,78372.409,77182.237,79195.146,90682.975,98275.937,84045.507,84939.061,89384.686,88049.891,71340.585,76628.734,88781.275,81396.174,73984.66,78916.865,79536.692,72954.273,75525.254,83919.892,75913.356,74239.764,77466.473,77078.194,69321.889,75111.401,,,72216.645,,
3344 - Fabricación de componentes electrónicos,27949.838,37394.752,54276.538,45371.572,32672.295,39873.709,41248.175,33878.212,48187.412,65190.077,64888.251,41032.812,49085.234,53035.988,45291.09,36234.834,66806.591,78973.5,40762.962,49444.172,56826.504,47096.944,60856.436,74810.129,86885.891,53976.69,60921.17,67412.35,60272.023,69318.818,96144.56,100539.719,64795.421,75245.134,81568.78,63383.454,84739.874,116268.747,134818.208,74061.664,88130.692,99802.571,92820.842,113811.757,155303.49,134304.723,103316.3,120645.363,124060.203,97691.683,131324.647,195918.82,167679.381,114508.165,141645.05,148153.633,116606.421,117334.547,146592.779,126913.545,116970.484,126844.582,126861.823,106353.521,79358.945,103131.605,119842.733,92856.233,96281.357,102171.701,96888.071,79009.205,94381.104,112465.456,87948.638,90092.793,95685.959,98740.472,85193.008,95237.253,106291.162,91966.74,93056.911,96365.474,93533.545,77426.313,92977.71,118291.428,85479.929,87979.189,95557.249,102438.728,94067.005,107508.684,115438.155,98252.867,101338.139,104863.143,108907.749,109183.15,111677.552,106201.385,109045.45,109922.817,108992.459,108927.075,105342.458,100673.861,87482.909,107134.767,104981.131,100606.576,69377.152,81977.19,78667.842,86269.313,75677.171,76674.061,79072.874,79588.49,83910.742,77224.735,78617.568,81749.616,80241.322,79835.384,77168.312,79977.292,70631.476,69832.752,78572.802,75925.693,74402.458,81324.437,85093.455,79793.373,78633.315,83208.946,82070.422,81211.145,80702.195,85599.679,88942.524,85707.902,83150.937,85081.466,85238.075,88603.226,95331.828,96341.309,93417.378,91967.527,93425.454,93423.435,102924.397,102702.25,103566.001,94102.956,102813.324,103064.216,100823.901,92431.769,100742.192,101021.621,96514.106,96586.981,98065.194,97677.422,102205.688,109629.534,107725.249,100232.641,105917.611,106520.157,104948.278,109875.366,111601.134,112737.292,110026.157,110738.25,111404.597,111059.987,114152.833,119365.199,114316.985,105627.727,116759.016,115945.006,113365.686,116544.3,101870.265,115262.795,119461.824,109207.283,111225.787,113284.796,123358.536,130500.752,125989.738,121663.351,126929.644,126616.342,125378.094,128610.708,133106.775,136604.953,136769.372,130858.742,132774.145,133772.952,141812.155,135458.24,125496.255,129850.048,138635.198,134255.55,133154.175,122183.247,134959.005,,,128571.126,,
"3345 - Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",6162.482,5247.763,6981.709,9226.121,5705.123,6130.651,6904.519,6253.709,5817.499,7560.405,10031.382,6035.604,6543.871,7415.749,6622.779,6834.014,7740.178,10391.948,6728.397,7065.657,7897.23,7009.214,6483.773,8234.506,11075.719,6746.494,7242.498,8200.803,8327.737,8193.64,9122.743,10907.509,8260.689,8548.04,9137.907,8751.096,7924.127,11286.207,14356.25,8337.612,9320.477,10579.42,9951.599,8868.759,11619.577,15487.329,9410.179,10146.645,11481.816,12753.145,10143.972,11169.892,16729.287,11448.559,11355.67,12699.074,11210.842,10658.171,12132.883,16786.345,10934.507,11333.965,12697.06,9066.231,10136.363,11391.226,14583.329,9601.297,10197.94,11294.287,9185.911,10126.126,11074.483,14496.012,9656.019,10128.84,11220.633,10286.654,12101.813,11250.972,13256.64,11194.234,11213.146,11724.02,9855.835,10659.334,10287.952,13141.256,10257.585,10267.707,10986.094,10218.053,12103.027,11659.498,12811.254,11160.54,11326.859,11697.958,9498.121,11431.68,12156.534,15665.534,10464.901,11028.778,12187.967,12698.586,16048.604,14967.006,18105.596,14373.595,14571.399,15454.948,12680.349,14173.843,12792.423,15921.094,13427.096,13215.538,13891.927,14732.63,17219.268,17182.514,17156.328,15975.949,16378.137,16572.685,16788.833,18227.246,19786.623,25178.07,17508.04,18267.567,19995.193,20858.652,23872.058,21528.214,22634.627,22365.355,22086.308,22223.388,15680.722,19741.864,22308.123,23397.987,17711.293,19243.57,20282.174,16637.106,15774.756,21317.451,24670.212,16205.931,17909.771,19599.881,20690.023,21967.329,27917.178,30359.235,21328.676,23524.843,25233.441,23417.191,24344.601,30256.113,33205.151,23880.896,26005.968,27805.764,25881.947,24633.315,28042.422,25352.149,25257.631,26185.895,25977.458,24295.084,25740.313,27890.622,28440.253,25017.699,25975.34,26591.568,22223.67,25179.561,28094.189,28217.732,23701.616,25165.807,25928.788,22319.266,23402.384,30231.274,37432.137,22860.825,25317.641,28346.265,22342.699,23127.668,24566.969,29534.86,22735.184,23345.779,24893.049,22796.127,22217.966,23464.059,25316.184,22507.047,22826.051,23448.584,24761.884,27261.829,35012.147,29618.517,26011.857,29011.953,29163.594,24762.679,27473.559,,,26118.119,,
3346 - Fabricación y reproducción de medios magnéticos y ópticos,870.567,762.649,1489.069,2059.622,816.608,1040.762,1295.477,1012.709,1178.398,1657.431,2326.258,1095.554,1282.846,1543.699,1302.911,1148.08,1501.541,1994.333,1225.496,1317.511,1486.716,1371.888,1354.119,2249.444,2598.677,1363.004,1658.484,1893.532,1851.165,1876.521,2765.565,3201.856,1863.843,2164.417,2423.777,1765.151,2066.563,3070.801,3228.593,1915.857,2300.838,2532.777,2224.186,2656.557,3795.724,3915.758,2440.372,2892.156,3148.056,2675.877,2509.704,3803.391,3978.888,2592.791,2996.324,3241.965,2725.518,2525.115,2627.931,3017.735,2625.317,2626.188,2724.075,1696.838,1991.496,2960.837,3833.02,1844.167,2216.39,2620.548,2156.309,2332.143,3513.005,3446.104,2244.226,2667.152,2861.89,2778.699,2558.98,4217.4,4362.817,2668.84,3185.026,3479.474,3517.867,3037.704,4230.072,4184.336,3277.786,3595.214,3742.495,3629.853,3465.721,4657.773,4806.84,3547.787,3917.782,4140.047,3626.166,3460.644,4604.303,4454.024,3543.405,3897.038,4036.284,3340.308,2770.7,3345.404,3842.2,3055.504,3152.137,3324.653,2322.86,2065.74,3097.563,3620.313,2194.3,2495.388,2776.619,2468.658,2170.003,3366.612,3543.851,2319.331,2668.424,2887.281,2336.558,2267.318,3348.389,3494.819,2301.938,2650.755,2861.771,2085.99,2054.947,3045.595,3155.38,2070.469,2395.511,2585.478,2112.389,1739.554,2638.465,2376.948,1925.972,2163.469,2216.839,1911.073,1991.403,3172.408,2959.493,1951.238,2358.295,2508.594,2440.792,2301.602,3059.305,3421.44,2371.197,2600.566,2805.785,2639.359,2545.674,3198.426,3492.826,2592.517,2794.486,2969.071,2397.213,2773.851,3323.556,3777.396,2585.532,2831.54,3068.004,2563.54,2885.901,3516.833,3857.314,2724.721,2988.758,3205.897,3263.729,3166.829,4128.675,3790.594,3215.279,3519.744,3587.457,2886.586,2744.403,4381.2,3547.343,2815.495,3337.396,3389.883,3347.551,3269.86,4124.393,3749.084,3308.706,3580.601,3622.722,3686.95,3781.025,4249.953,4081.672,3733.988,3905.976,3949.9,3190.162,3153.494,3099.278,2770.619,3171.828,3147.645,3053.388,2517.409,2673.955,,,2595.682,,
